,District,Latitude,Longitude
0,I. kerület,47.49705,19.03961
1,II. kerület,47.51291,19.03184
2,III. kerület,47.54157,19.04501
3,IV. kerület,47.56182,19.08909
4,V. kerület,47.49958,19.05115
5,VI. kerület,47.50369,19.06583
6,VII. kerület,47.50045,19.06875
7,VIII. kerület,47.48919,19.07012
8,IX. kerület,47.48299,19.06591
9,X. kerület,47.4791,19.15835
10,XI. kerület,47.47603,19.03605
11,XII. kerület,47.49192,19.01493
12,XIII. kerület,47.52978,19.08068
13,XIV. kerület,47.5183,19.10789
14,XV. kerület,47.56263,19.11681
15,XVI. kerület,47.51482,19.17028
16,XVII. kerület,47.47997,19.25388
17,XVIII. kerület,47.44417,19.17595
18,XIX. kerület,47.45293,19.14943
19,XX. kerület,47.43674,19.10093
20,XXI. kerület,47.43047,19.07098
21,XXII. kerület,47.42698,19.04016
22,XXIII. kerület,47.39788,19.11492
